Vehicle condition,Category,Vehicle Number,Origin,Mileage,Cubic Capacity,Power,Drive type,Fuel,Number of Seats,Door Count,Transmission,Emission Class,Emissions Sticker,First Registration,HU,Climatisation,Parking sensors,Airbags,Colour (Manufacturer),Colour,Interior Design,price,Make,Number of Vehicle Owners,Cylinders
Used vehicle,Estate Car,0337D,German edition,107295.0,1968.0,110.0,Internal combustion engine,Diesel,5,4/5,Manual gearbox,Euro6d-TEMP,4 (Green),10/2017,New,"Automatic climatisation, 3 zones","Front, Rear",Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Alcantara, Black",23990.0,Audi,,
Used vehicle,Estate Car,,German edition,98844.0,1984.0,185.0,Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),11/2017,06/2025,"Automatic climatisation, 3 zones","Front, Rear, Camera",Front and Side and More Airbags,Tangorot Metallic,Red Metallic,"Full leather, Black",23950.0,Audi,2,4
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,0326I,German edition,83181.0,1984.0,132.0,Internal combustion engine,"Petrol, E10-enabled",5,4/5,Manual gearbox,Euro6,4 (Green),01/2016,New,"Automatic climatisation, 2 zones",Rear,Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Cloth, Black",18990.0,Audi,,
"Used vehicle, Accident-free",Saloon,,,92000.0,2967.0,180.0,Internal combustion engine,Diesel,4,4/5,Automatic,Euro5,,03/2015,06/2025,Automatic air conditioning,"Rear, Camera, Front",,,White,Alcantara,22600.0,Audi,3,
Used vehicle,Saloon,0286H,German edition,110244.0,1984.0,140.0,Internal combustion engine,"Petrol, E10-enabled",5,4/5,Manual gearbox,Euro6,4 (Green),05/2017,New,Automatic air conditioning,,Front and Side and More Airbags,Scubablau Metallic,Blue Metallic,"Other, Other",18990.0,Audi,,
Used vehicle,Estate Car,0093E,German edition,92395.0,1395.0,110.0,Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),10/2018,New,Automatic air conditioning,"Rear, Front",Driver Airbag,Mondscheinblau Metallic,Blue Metallic,"Part leather, Black",24990.0,Audi,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,,101746.0,1984.0,132.0,Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),12/2017,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Brillantschwarz,Black Metallic,"Alcantara, Black",19999.0,Audi,,4
"Used vehicle, Accident-free",Cabriolet / Roadster,,,94158.0,1395.0,92.0,Internal combustion engine,Petrol,4,2/3,Manual gearbox,Euro6,4 (Green),04/2015,05/2026,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Amalfiweiss,White Metallic,"Alcantara, Black",16490.0,Audi,2,
"Used vehicle, Accident-free",Cabriolet / Roadster,,German edition,78800.0,1984.0,221.0,Internal combustion engine,"Petrol, E10-enabled",4,2/3,Automatic,Euro6,4 (Green),04/2015,New,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Misanorot Perleffekt,Red Metallic,"Full leather, Black",25690.0,Audi,2,
Used vehicle,SUV / Off-road Vehicle / Pickup Truck,,,86500.0,1984.0,162.0,Internal combustion engine,Petrol,5,4/5,Automatic,Euro6,4 (Green),03/2015,04/2026,"Automatic climatisation, 2 zones","Camera, Rear, Front",Front and Side and More Airbags,Florettsilber Metallic,Silver Metallic,"Full leather, Black",19890.0,Audi,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,German edition,120000.0,2480.0,228.0,Internal combustion engine,Petrol,5,4/5,Automatic,Euro5,4 (Green),12/2014,10/2024,Automatic air conditioning,"Front, Rear",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Alcantara, Black",23300.0,Audi,2,
"Used vehicle, Repaired accident damage",Estate Car,,German edition,102880.0,1498.0,110.0,Internal combustion engine,"Petrol, E10-enabled",5,4/5,Automatic,Euro6d-TEMP,4 (Green),07/2019,08/2026,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Mythosschwarz Metallic,Black Metallic,"Part leather, Black",22990.0,Audi,2,4
"Used vehicle, Accident-free",Small Car,,,98270.0,1395.0,110.0,Internal combustion engine,"Petrol, E10-enabled",5,4/5,Automatic,Euro6,4 (Green),08/2015,New,"Automatic climatisation, 2 zones","Front, Rear",Front and Side and More Airbags,Daytonagrau Perleffekt,Grey Metallic,"Full leather, Black",15900.0,Audi,,
Used vehicle,Cabriolet / Roadster,,German edition,55000.0,1395.0,92.0,Internal combustion engine,Petrol,4,2/3,Manual gearbox,Euro6,4 (Green),03/2015,04/2026,Automatic air conditioning,Rear,Front and Side and More Airbags,Monsungrau Metallic,Grey Metallic,"Alcantara, Black",17450.0,Audi,2,4
"Used vehicle, Accident-free",Saloon,Fahrzeugnummer : 73,German edition,116200.0,1968.0,110.0,Internal combustion engine,Diesel,5,4/5,Automatic,Euro5,4 (Green),11/2014,New,Automatic air conditioning,Rear,Front and Side and More Airbags,Gletscherweiß Metallic,White Metallic,"Full leather, Grey",18990.0,Audi,2,4
Used vehicle,Cabriolet / Roadster,,German edition,98699.0,2967.0,160.0,Internal combustion engine,Diesel,4,2/3,Automatic,Euro6,4 (Green),07/2017,05/2026,"Automatic climatisation, 3 zones","Rear, Front",Front and Side Airbags,Gletscherweiß Metallic,White Metallic,"Alcantara, Black",24990.0,Audi,3,6
Used vehicle,Saloon,0138J,German edition,79670.0,1968.0,140.0,Internal combustion engine,Diesel,5,4/5,Automatic,Euro6,4 (Green),10/2017,New,"Automatic climatisation, 2 zones","Rear, Front, Camera",Front and Side and More Airbags,Tornadograu Metallic,Grey Metallic,"Full leather, Black",25950.0,Audi,,
"Used vehicle, Accident-free",SUV / Off-road Vehicle / Pickup Truck,,German edition,104000.0,1984.0,140.0,Internal combustion engine,"Petrol, E10-enabled",5,4/5,Automatic,Euro6d-TEMP,4 (Green),05/2019,New,"Automatic climatisation, 2 zones","Front, Rear",Driver Airbag,Nanograu,Grey Metallic,"Cloth, Other",25990.0,Audi,2,4
